description,quantity,price,status
Zboncak Ward,26,811,Hidden
Herzog Mosciski,21,877,Shown
Walker Schmeler and Shields,23,756,Shown
Trantow Group,29,190,Shown
Jacobs Sipes,71,1341,Shown
Grant LLC,1,580,Hidden
Watsica Murazik,69,1254,Shown
Bernhard Inc,63,836,Shown
Cummings Roob and Hackett,62,1092,Shown
Reichel Abernathy and Beer,47,186,Shown
Runolfsson MacGyver and Weber,92,64,Shown
Heller Hoeger,66,105,Shown
Murphy Renner and Collins,72,1364,Shown
Rohan VonRueden,41,915,Hidden
Ferry White,5,1208,Hidden
Bartoletti and Sons,88,951,Shown
Maggio Inc,60,654,Hidden
Barton and Sons,29,636,Hidden
Runte Group,1,423,Hidden
Abbott Murazik,42,172,Shown
Fritsch Group,52,339,Hidden
Wuckert Inc,90,500,Hidden
Thompson LLC,12,549,Shown
King Skiles and Walsh,50,1424,Shown
Dach Weber and Walsh,42,1091,Shown
Weber and Sons,17,850,Hidden
Mann Inc,66,188,Shown
Gerlach Pacocha,24,1178,Hidden
Bogisich Rutherford,13,96,Shown
Koepp Larkin,55,159,Hidden
Effertz Schuppe,44,600,Hidden
Johns LLC,40,772,Hidden
Schamberger Group,61,292,Hidden
Kihn Bergstrom,78,820,Hidden
Powlowski Reinger and Stokes,36,1240,Shown
Champlin Block and Hickle,98,600,Hidden
Bins Group,51,1412,Shown
Kihn Stracke and Yundt,20,1003,Hidden
Marquardt Bode and Abernathy,49,54,Hidden
Wilkinson Hagenes,40,1438,Hidden
Greenfelder Thompson and Schmitt,87,689,Hidden
Kunze Haag,74,1132,Hidden
Will LLC,78,302,Shown
Kuhlman Lemke and Bins,56,423,Hidden
Walter Romaguera and Witting,3,1301,Shown
Wilkinson LLC,40,507,Shown
Cronin and Sons,70,236,Shown
Barton Morar,57,588,Hidden
Mosciski LLC,76,738,Shown
Lueilwitz LLC,41,389,Shown
Robel Inc,93,673,Hidden
Shields Larson and Toy,25,1224,Shown
Boyle Ebert,78,1303,Hidden
Smith Konopelski,7,944,Shown
Gaylord Group,2,1089,Shown
Nolan LLC,79,928,Hidden
Wehner LLC,86,914,Shown
Franecki Gaylord and Crist,9,1001,Hidden
Barrows Inc,51,1407,Shown
Kovacek Quitzon and Feil,84,1042,Shown
Ledner Christiansen,77,1106,Hidden
Farrell Osinski and Mills,79,1148,Shown
Larkin and Sons,34,801,Shown
Gulgowski Witting,78,1086,Shown
Braun O'Hara,77,551,Hidden
Abshire Erdman,85,252,Hidden
Corkery Group,4,27,Hidden
Boyle Thiel,52,1303,Shown
Lockman Schuppe and Labadie,69,495,Hidden
Ziemann Group,15,1466,Shown
McDermott LLC,40,1203,Shown
Feeney Beer and Ortiz,89,1082,Shown
Lubowitz White,79,207,Hidden
Howell and Sons,37,113,Shown
Hermiston Lubowitz and Marvin,56,287,Shown
McGlynn Bahringer and Walter,66,1453,Hidden
McLaughlin Inc,9,435,Shown
Steuber McCullough and Rath,35,326,Shown
Stanton Spencer,95,1394,Hidden
Okuneva Daniel and Crona,6,1162,Shown
Daugherty Inc,66,223,Shown
Cummerata LLC,83,996,Shown
Donnelly and Sons,84,864,Hidden
Rolfson Lesch and Stokes,69,69,Shown
Lesch Barton,64,1033,Shown
Bashirian Padberg,16,144,Shown
Kunde Inc,39,534,Shown
O'Hara Zulauf and Morar,96,822,Shown
Fadel Padberg,27,1206,Shown
Williamson Mueller and Will,32,1454,Shown
Kutch Inc,48,797,Shown
Considine Greenholt,46,1147,Hidden
Smith and Sons,47,967,Shown
Stanton Frami,16,1498,Hidden
Flatley and Sons,21,250,Shown
Hayes Satterfield,70,898,Hidden
Ryan LLC,98,1330,Shown
O'Kon Group,79,1315,Hidden
Paucek Bechtelar,33,633,Hidden
Brekke Walker,79,1071,Shown
Auer Okuneva and Schuster,98,997,Shown
Will Mohr,41,237,Shown
Zemlak Group,98,888,Hidden
Feil Stiedemann and Bayer,63,755,Shown
Greenfelder Group,85,1256,Hidden
DuBuque and Sons,76,992,Shown
Bartell Group,79,341,Hidden
Mills Durgan and Kuhn,18,1282,Shown
Herzog Wiza,26,1229,Shown
Reichert Schmitt and Walsh,97,1108,Hidden
Lubowitz Hamill,2,239,Hidden
Larkin Pollich and Kuhn,80,1427,Hidden
Runolfsdottir Douglas,84,957,Hidden
Bashirian O'Reilly,90,1270,Shown
Turcotte Gutkowski,76,806,Shown
Bayer Crona and Kozey,43,1179,Hidden
Pollich Inc,14,398,Hidden
Rohan Sanford,19,1267,Hidden
Stoltenberg Wunsch,46,250,Shown
Schuppe Nolan,20,905,Hidden
Zieme Medhurst,49,1122,Shown
West Walsh,93,1211,Hidden
Ward Inc,87,590,Hidden
Hilll Donnelly,71,1202,Shown
Hahn O'Kon,38,432,Shown
Walker Fay,83,566,Shown
McDermott Cremin and Dickens,22,1443,Shown
Braun Daugherty and Terry,98,1177,Hidden
Schroeder Swaniawski and Senger,59,1426,Shown
Baumbach Olson,82,97,Shown
Feeney LLC,35,125,Hidden
Tremblay Group,87,78,Shown
Lind Stracke,36,159,Shown
Batz Turner,91,1036,Shown
Kohler Reynolds,95,278,Hidden
Schneider Pagac,57,24,Hidden
Lowe Heller,93,546,Shown
Stracke Weber,48,1019,Shown
Harvey Roob and Pagac,25,400,Shown
Cummings Johns,70,326,Hidden
Schimmel Walsh,70,1328,Hidden
Leffler Group,17,991,Shown
Kautzer Wuckert and Ferry,42,1326,Shown
Green Bradtke and Willms,34,113,Hidden
Hermann Kautzer,51,259,Shown
Doyle Group,69,1003,Shown
Boehm Keebler and Grant,38,1302,Shown
Monahan Langworth and Johnston,82,804,Shown
Zemlak Kuhn,73,61,Shown
Leffler Group,8,1381,Hidden
Kautzer Jast,40,1304,Shown
Funk Hagenes and Bogisich,46,112,Hidden
Koepp LLC,62,1352,Shown
Beatty Jacobi,23,35,Shown
Gorczany and Sons,75,317,Shown
Hartmann LLC,87,1405,Hidden
Klein Inc,48,219,Shown
McKenzie Halvorson and Torp,39,65,Shown
Conroy Bradtke,97,1342,Hidden
Mitchell LLC,74,462,Shown
Wintheiser Nolan,92,144,Hidden
Wilkinson Kozey and Bergnaum,19,1150,Shown
Greenholt Rowe,23,168,Hidden
Quitzon Bosco,46,231,Hidden
Bechtelar Dach and Keeling,15,494,Shown
Sauer Kuhic,33,854,Hidden
Feeney Inc,31,1364,Shown
Lehner Hilpert,46,27,Shown
Watsica Reilly,52,63,Hidden
Roberts Kunde and Daugherty,75,1218,Hidden
Kihn Gottlieb and O'Reilly,19,843,Hidden
Wiza Funk and Renner,52,1394,Hidden
Koch Satterfield,41,483,Hidden
Lehner Stracke,41,520,Shown
Wiza Nitzsche and Thiel,15,1493,Shown
Robel Inc,39,246,Hidden
Jerde Shields and Macejkovic,91,1353,Shown
Daugherty Inc,67,889,Shown
Parisian and Sons,58,1233,Shown
Kiehn Reichel and Legros,16,695,Hidden
Kuphal Leuschke and McGlynn,68,183,Hidden
DuBuque Rippin and Osinski,4,468,Hidden
Mitchell Bosco and Quitzon,3,1259,Shown
Kiehn Adams and Abbott,19,291,Hidden
Streich Rutherford and Breitenberg,55,992,Shown
Thiel Rutherford and Beer,17,900,Hidden
Sawayn Inc,77,979,Hidden
Watsica Leannon and Kutch,41,1490,Shown
Rowe Inc,94,249,Shown
Hayes Morissette and Schuppe,18,129,Shown
Runolfsdottir LLC,86,1383,Shown
Wisozk Inc,54,333,Shown
Mertz Tremblay and Marks,15,1488,Hidden
Fay Willms,69,90,Hidden
Gibson LLC,52,1437,Hidden
Gutmann Bradtke and Christiansen,22,1298,Hidden
Reinger Quitzon,98,845,Shown
Murray Nolan and Stark,51,1337,Hidden
Stehr Dach,91,1056,Hidden
Pagac Inc,98,380,Shown
Wyman Botsford,97,343,Hidden
O'Kon Group,82,257,Shown
Dickens Group,48,743,Hidden
Batz Rodriguez and Lueilwitz,30,1101,Hidden
Torphy Schmidt,21,870,Hidden
Reichel LLC,91,843,Hidden
Conn Hahn and Gerhold,59,213,Shown
Connelly Gorczany,11,260,Shown
Padberg LLC,83,496,Shown
Schoen Group,39,807,Hidden
Weber Lueilwitz and Waters,61,231,Hidden
Huel Nienow,90,63,Hidden
Friesen Baumbach,88,1161,Hidden
Spinka Lindgren,10,257,Shown
Kunde LLC,92,877,Shown
Glover Ullrich,44,533,Shown
Lowe Pfannerstill,91,765,Shown
Champlin Pagac,40,1332,Shown
Baumbach Johnston and Cummerata,93,541,Shown
Carroll Hoeger and Kuhlman,66,463,Hidden
O'Keefe LLC,83,1456,Shown
Witting Hessel,35,110,Hidden
Macejkovic Group,48,875,Shown
Bernier Wintheiser,44,782,Shown
Robel Rolfson and Osinski,70,312,Shown
Hansen Murphy,71,428,Shown
Stiedemann Group,56,47,Shown
Kuphal O'Connell and Marks,83,1405,Shown
Nienow Inc,32,1233,Shown
Walsh Simonis,74,107,Hidden
Franecki Group,84,581,Hidden
Lynch O'Keefe,93,242,Hidden
Stiedemann Luettgen,59,692,Shown
Hagenes Kihn,94,708,Hidden
Gottlieb Toy,20,105,Hidden
Wolff Group,85,706,Shown
Heaney Group,72,530,Shown
Maggio Schoen,89,910,Shown
Sawayn Group,95,1354,Shown
Nader O'Connell and Kub,3,1193,Shown
Hartmann Reilly,10,425,Shown
Hintz Schulist,34,169,Shown
Goyette Inc,73,640,Shown
Strosin Auer,58,1045,Shown
Lesch Hamill and Frami,18,517,Hidden
Grimes Group,74,237,Hidden
Toy and Sons,55,531,Hidden
Cormier Inc,26,1305,Shown
Ritchie LLC,90,506,Hidden
Ritchie and Sons,58,1040,Shown
Sauer Gleason,21,602,Shown
Hoeger Skiles and Carter,47,58,Shown
Hand Funk,25,1001,Shown
Herman LLC,87,912,Shown
