sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 00:45:00,13.2 kB/s,0 kB/s,5.60 kB/s,61.5 kB/s,0 kB/s,17.4 kB/s
2023-02-08 00:45:15,5.20 kB/s,0 kB/s,22.8 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s
2023-02-08 00:45:30,1.02 MB/s,0 kB/s,157 kB/s,787 kB/s,0 kB/s,1.05 MB/s
2023-02-08 00:45:45,650 kB/s,0 kB/s,116 kB/s,518 kB/s,0 kB/s,674 kB/s
2023-02-08 00:46:00,993 kB/s,0 kB/s,105 kB/s,787 kB/s,0 kB/s,1.02 MB/s
2023-02-08 00:46:15,1.28 MB/s,0 kB/s,157 kB/s,982 kB/s,0 kB/s,1.32 MB/s
2023-02-08 00:46:30,1.08 MB/s,0 kB/s,198 kB/s,846 kB/s,0 kB/s,1.12 MB/s
2023-02-08 00:46:45,587 kB/s,0 kB/s,124 kB/s,470 kB/s,0 kB/s,610 kB/s
2023-02-08 00:47:00,828 kB/s,0 kB/s,133 kB/s,653 kB/s,0 kB/s,853 kB/s
2023-02-08 00:47:15,918 kB/s,0 kB/s,151 kB/s,717 kB/s,0 kB/s,948 kB/s
2023-02-08 00:47:30,985 kB/s,0 kB/s,111 kB/s,770 kB/s,0 kB/s,1.01 MB/s
2023-02-08 00:47:45,1.07 MB/s,0 kB/s,168 kB/s,820 kB/s,0 kB/s,1.10 MB/s
2023-02-08 00:48:00,783 kB/s,0 kB/s,146 kB/s,600 kB/s,0 kB/s,821 kB/s
2023-02-08 00:48:15,769 kB/s,0 kB/s,121 kB/s,609 kB/s,0 kB/s,790 kB/s
2023-02-08 00:48:30,641 kB/s,0 kB/s,116 kB/s,529 kB/s,0 kB/s,663 kB/s
2023-02-08 00:48:45,1.12 MB/s,0 kB/s,171 kB/s,869 kB/s,0 kB/s,1.15 MB/s
2023-02-08 00:49:00,715 kB/s,0 kB/s,134 kB/s,580 kB/s,0 kB/s,745 kB/s
2023-02-08 00:49:15,697 kB/s,0 kB/s,116 kB/s,528 kB/s,0 kB/s,723 kB/s
2023-02-08 00:49:30,708 kB/s,0 kB/s,162 kB/s,546 kB/s,0 kB/s,743 kB/s
2023-02-08 00:49:45,813 kB/s,0 kB/s,122 kB/s,636 kB/s,0 kB/s,839 kB/s
2023-02-08 00:50:00,780 kB/s,0 kB/s,99.1 kB/s,622 kB/s,0 kB/s,805 kB/s
2023-02-08 00:50:15,795 kB/s,0 kB/s,179 kB/s,610 kB/s,0 kB/s,827 kB/s
2023-02-08 00:50:30,1.05 MB/s,0 kB/s,168 kB/s,820 kB/s,0 kB/s,1.08 MB/s
2023-02-08 00:50:45,677 kB/s,0 kB/s,119 kB/s,540 kB/s,0 kB/s,701 kB/s
2023-02-08 00:51:00,1.56 MB/s,0 kB/s,133 kB/s,1.20 MB/s,0 kB/s,1.59 MB/s
2023-02-08 00:51:15,442 kB/s,0 kB/s,139 kB/s,361 kB/s,0 kB/s,464 kB/s
2023-02-08 00:51:30,481 kB/s,0 kB/s,99 kB/s,404 kB/s,0 kB/s,502 kB/s
2023-02-08 00:51:45,1.26 MB/s,0 kB/s,174 kB/s,966 kB/s,0 kB/s,1.30 MB/s
2023-02-08 00:52:00,1.23 MB/s,0 kB/s,185 kB/s,950 kB/s,0 kB/s,1.27 MB/s
2023-02-08 00:52:15,639 kB/s,0 kB/s,105 kB/s,513 kB/s,0 kB/s,660 kB/s
2023-02-08 00:52:30,619 kB/s,0 kB/s,110 kB/s,493 kB/s,0 kB/s,643 kB/s
2023-02-08 00:52:45,917 kB/s,0 kB/s,163 kB/s,701 kB/s,0 kB/s,952 kB/s
2023-02-08 00:53:00,1.30 MB/s,0 kB/s,146 kB/s,1.02 MB/s,0 kB/s,1.34 MB/s
