sep=,
"Time","iowait","irq","nice","softirq","steal","system","user"
2023-03-24 11:45:00,0%,0%,0%,0%,0.200%,0.100%,0.1000%
2023-03-24 11:45:15,0%,0%,0%,0%,0.200%,0.1000%,0.200%
2023-03-24 11:45:30,0%,0%,0%,0%,0.100%,0.1000%,0.1000%
2023-03-24 11:45:45,0%,0%,0%,0%,0.1000%,0%,0.300%
2023-03-24 11:46:00,0%,0%,0%,0%,0.100%,0.1000%,0.300%
2023-03-24 11:46:15,0%,0%,0%,0%,0.200%,0.100%,0.300%
2023-03-24 11:46:30,0%,0%,0%,2%,0.900%,1.30%,7.60%
2023-03-24 11:46:45,0%,0%,0%,2.50%,1.30%,1.20%,8.90%
2023-03-24 11:47:00,0%,0%,0%,2.60%,1.40%,1.60%,8.00%
2023-03-24 11:47:15,0%,0%,0%,2.40%,1.30%,1.20%,7.70%
2023-03-24 11:47:30,0%,0%,0%,3.00%,2.20%,1.90%,9.10%
2023-03-24 11:47:45,0%,0%,0%,1.90%,1.60%,1.000%,8.50%
2023-03-24 11:48:00,0%,0%,0%,2.10%,1.40%,1.30%,9.00%
2023-03-24 11:48:15,0%,0%,0%,2.30%,2.40%,0.900%,8.40%
2023-03-24 11:48:30,0%,0%,0%,0.500%,0.500%,0.400%,3.40%
2023-03-24 11:48:45,0%,0%,0%,0.600%,0.600%,0.200%,2.90%
2023-03-24 11:49:00,0%,0%,0%,1.00%,1.00%,0.500%,2.60%
2023-03-24 11:49:15,0%,0%,0%,0.800%,0.700%,0.400%,2.90%
2023-03-24 11:49:30,0%,0%,0%,0.400%,0.400%,0.400%,3.20%
2023-03-24 11:49:45,0%,0%,0%,0.700%,0.400%,0.500%,2.80%
2023-03-24 11:50:00,0%,0%,0%,0.700%,0.600%,0.200%,2.90%
2023-03-24 11:50:15,0%,0%,0%,1.10%,1.60%,0.600%,3.50%
2023-03-24 11:50:30,0%,0%,0%,0.800%,0.500%,0.400%,3.30%
2023-03-24 11:50:45,0%,0%,0%,0.800%,1.10%,0.400%,3.00%
