sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-03-24 11:45:00,57.2 kB/s,0 kB/s,67.2 kB/s,54.9 kB/s,0 kB/s,72.6 kB/s
2023-03-24 11:45:15,52.4 kB/s,0 kB/s,61.6 kB/s,48.3 kB/s,0 kB/s,67.8 kB/s
2023-03-24 11:45:30,57.2 kB/s,0 kB/s,61.8 kB/s,54.9 kB/s,0 kB/s,72.6 kB/s
2023-03-24 11:45:45,49.6 kB/s,0 kB/s,78.4 kB/s,59.1 kB/s,0 kB/s,63.6 kB/s
2023-03-24 11:46:00,52 kB/s,0 kB/s,125 kB/s,54.9 kB/s,0 kB/s,66 kB/s
2023-03-24 11:46:15,54.8 kB/s,0 kB/s,72.8 kB/s,48.3 kB/s,0 kB/s,70.2 kB/s
2023-03-24 11:46:30,4.86 GB/s,0 kB/s,70.9 MB/s,3.37 GB/s,0 kB/s,4.88 GB/s
2023-03-24 11:46:45,5.32 GB/s,0 kB/s,58.0 MB/s,3.99 GB/s,0 kB/s,5.34 GB/s
2023-03-24 11:47:00,5.13 GB/s,0 kB/s,54.7 MB/s,3.57 GB/s,0 kB/s,5.16 GB/s
2023-03-24 11:47:15,4.98 GB/s,0 kB/s,67.8 MB/s,3.44 GB/s,0 kB/s,5.00 GB/s
2023-03-24 11:47:30,5.28 GB/s,0 kB/s,59.7 MB/s,4.00 GB/s,0 kB/s,5.30 GB/s
2023-03-24 11:47:45,4.04 GB/s,0 kB/s,40.0 MB/s,3.35 GB/s,0 kB/s,4.06 GB/s
2023-03-24 11:48:00,5.01 GB/s,0 kB/s,47.0 MB/s,3.87 GB/s,0 kB/s,5.04 GB/s
2023-03-24 11:48:15,5.33 GB/s,0 kB/s,63.0 MB/s,3.49 GB/s,0 kB/s,5.35 GB/s
2023-03-24 11:48:30,1.54 GB/s,0 kB/s,18.8 MB/s,1.32 GB/s,0 kB/s,1.54 GB/s
2023-03-24 11:48:45,1.86 GB/s,0 kB/s,26.5 MB/s,1.13 GB/s,0 kB/s,1.86 GB/s
2023-03-24 11:49:00,1.93 GB/s,0 kB/s,22.2 MB/s,1.19 GB/s,0 kB/s,1.94 GB/s
2023-03-24 11:49:15,1.52 GB/s,0 kB/s,25.8 MB/s,1.28 GB/s,0 kB/s,1.53 GB/s
2023-03-24 11:49:30,1.56 GB/s,0 kB/s,17.8 MB/s,1.33 GB/s,0 kB/s,1.57 GB/s
2023-03-24 11:49:45,1.82 GB/s,0 kB/s,19.8 MB/s,1.11 GB/s,0 kB/s,1.83 GB/s
2023-03-24 11:50:00,1.75 GB/s,0 kB/s,30.2 MB/s,1.09 GB/s,0 kB/s,1.76 GB/s
2023-03-24 11:50:15,1.44 GB/s,0 kB/s,15.5 MB/s,1.30 GB/s,0 kB/s,1.45 GB/s
2023-03-24 11:50:30,1.69 GB/s,0 kB/s,29.3 MB/s,1.35 GB/s,0 kB/s,1.70 GB/s
2023-03-24 11:50:45,1.91 GB/s,0 kB/s,26.1 MB/s,1.20 GB/s,0 kB/s,1.91 GB/s
2023-03-24 11:51:00,1.63 GB/s,0 kB/s,21.4 MB/s,960 MB/s,0 kB/s,1.63 GB/s
2023-03-24 11:51:15,1.61 GB/s,0 kB/s,20.0 MB/s,1.28 GB/s,0 kB/s,1.62 GB/s
2023-03-24 11:51:30,1.52 GB/s,0 kB/s,21.4 MB/s,1.30 GB/s,0 kB/s,1.53 GB/s
2023-03-24 11:51:45,2.00 GB/s,0 kB/s,22.1 MB/s,1.25 GB/s,0 kB/s,2.01 GB/s
2023-03-24 11:52:00,1.95 GB/s,0 kB/s,21.0 MB/s,1.39 GB/s,0 kB/s,1.95 GB/s
2023-03-24 11:52:15,1.94 GB/s,0 kB/s,23.1 MB/s,1.20 GB/s,0 kB/s,1.95 GB/s
2023-03-24 11:52:30,2.02 GB/s,0 kB/s,19.5 MB/s,1.66 GB/s,0 kB/s,2.03 GB/s
2023-03-24 11:52:45,2.06 GB/s,0 kB/s,31.3 MB/s,1.22 GB/s,0 kB/s,2.07 GB/s
2023-03-24 11:53:00,1.71 GB/s,0 kB/s,19.4 MB/s,1.31 GB/s,0 kB/s,1.71 GB/s
2023-03-24 11:53:15,1.71 GB/s,0 kB/s,19.0 MB/s,1.07 GB/s,0 kB/s,1.72 GB/s
2023-03-24 11:53:30,1.76 GB/s,0 kB/s,23.1 MB/s,1.47 GB/s,0 kB/s,1.77 GB/s
2023-03-24 11:53:45,2.01 GB/s,0 kB/s,22.0 MB/s,1.17 GB/s,0 kB/s,2.02 GB/s
2023-03-24 11:54:00,1.88 GB/s,0 kB/s,34.2 MB/s,1.54 GB/s,0 kB/s,1.88 GB/s
2023-03-24 11:54:15,1.87 GB/s,0 kB/s,21.8 MB/s,1.14 GB/s,0 kB/s,1.88 GB/s
2023-03-24 11:54:30,1.70 GB/s,0 kB/s,18.0 MB/s,1.38 GB/s,0 kB/s,1.71 GB/s
2023-03-24 11:54:45,1.74 GB/s,0 kB/s,26.5 MB/s,1.10 GB/s,0 kB/s,1.75 GB/s
2023-03-24 11:55:00,1.73 GB/s,0 kB/s,19.0 MB/s,1.23 GB/s,0 kB/s,1.73 GB/s
2023-03-24 11:55:15,1.75 GB/s,0 kB/s,18.3 MB/s,1.21 GB/s,0 kB/s,1.76 GB/s
2023-03-24 11:55:30,1.74 GB/s,0 kB/s,19.1 MB/s,1.56 GB/s,0 kB/s,1.75 GB/s
2023-03-24 11:55:45,2.23 GB/s,0 kB/s,21.4 MB/s,1.31 GB/s,0 kB/s,2.24 GB/s
2023-03-24 11:56:00,1.69 GB/s,0 kB/s,16.1 MB/s,1.47 GB/s,0 kB/s,1.70 GB/s
2023-03-24 11:56:15,2.29 GB/s,0 kB/s,29.1 MB/s,1.37 GB/s,0 kB/s,2.30 GB/s
2023-03-24 11:56:30,1.75 GB/s,0 kB/s,20.9 MB/s,1.54 GB/s,0 kB/s,1.75 GB/s
2023-03-24 11:56:45,1.81 GB/s,0 kB/s,19.1 MB/s,1.02 GB/s,0 kB/s,1.82 GB/s
2023-03-24 11:57:00,2.25 GB/s,0 kB/s,26.1 MB/s,1.50 GB/s,0 kB/s,2.26 GB/s
2023-03-24 11:57:15,1.85 GB/s,0 kB/s,18.2 MB/s,1.24 GB/s,0 kB/s,1.85 GB/s
2023-03-24 11:57:30,1.71 GB/s,0 kB/s,16.8 MB/s,1.47 GB/s,0 kB/s,1.72 GB/s
2023-03-24 11:57:45,2.05 GB/s,0 kB/s,38.0 MB/s,1.22 GB/s,0 kB/s,2.06 GB/s
2023-03-24 11:58:00,1.47 GB/s,0 kB/s,19.5 MB/s,1.21 GB/s,0 kB/s,1.47 GB/s
2023-03-24 11:58:15,1.89 GB/s,0 kB/s,19.5 MB/s,1.22 GB/s,0 kB/s,1.90 GB/s
2023-03-24 11:58:30,1.61 GB/s,0 kB/s,17.6 MB/s,1.40 GB/s,0 kB/s,1.61 GB/s
2023-03-24 11:58:45,1.97 GB/s,0 kB/s,25.4 MB/s,1.13 GB/s,0 kB/s,1.98 GB/s
2023-03-24 11:59:00,1.77 GB/s,0 kB/s,26.4 MB/s,1.21 GB/s,0 kB/s,1.78 GB/s
2023-03-24 11:59:15,1.54 GB/s,0 kB/s,19.0 MB/s,1.05 GB/s,0 kB/s,1.55 GB/s
2023-03-24 11:59:30,1.55 GB/s,0 kB/s,13.5 MB/s,1.38 GB/s,0 kB/s,1.56 GB/s
2023-03-24 11:59:45,1.95 GB/s,0 kB/s,20.4 MB/s,1.12 GB/s,0 kB/s,1.96 GB/s
2023-03-24 12:00:00,1.82 GB/s,0 kB/s,23.3 MB/s,1.45 GB/s,0 kB/s,1.82 GB/s
2023-03-24 12:00:15,1.90 GB/s,0 kB/s,25.1 MB/s,1.17 GB/s,0 kB/s,1.91 GB/s
2023-03-24 12:00:30,2.04 GB/s,0 kB/s,20.7 MB/s,1.58 GB/s,0 kB/s,2.04 GB/s
2023-03-24 12:00:45,1.66 GB/s,0 kB/s,19.4 MB/s,1.11 GB/s,0 kB/s,1.66 GB/s
2023-03-24 12:01:00,1.77 GB/s,0 kB/s,20.6 MB/s,1.52 GB/s,0 kB/s,1.78 GB/s
2023-03-24 12:01:15,1.84 GB/s,0 kB/s,17.7 MB/s,1.07 GB/s,0 kB/s,1.84 GB/s
2023-03-24 12:01:30,2.02 GB/s,0 kB/s,18.1 MB/s,1.43 GB/s,0 kB/s,2.03 GB/s
2023-03-24 12:01:45,1.60 GB/s,0 kB/s,20.0 MB/s,1.17 GB/s,0 kB/s,1.61 GB/s
2023-03-24 12:02:00,1.95 GB/s,0 kB/s,22.9 MB/s,1.67 GB/s,0 kB/s,1.96 GB/s
2023-03-24 12:02:15,1.66 GB/s,0 kB/s,16.3 MB/s,938 MB/s,0 kB/s,1.67 GB/s
2023-03-24 12:02:30,2.15 GB/s,0 kB/s,26.1 MB/s,1.65 GB/s,0 kB/s,2.16 GB/s
2023-03-24 12:02:45,1.90 GB/s,0 kB/s,19.3 MB/s,1.22 GB/s,0 kB/s,1.91 GB/s
2023-03-24 12:03:00,2.12 GB/s,0 kB/s,37.7 MB/s,1.52 GB/s,0 kB/s,2.12 GB/s
2023-03-24 12:03:15,1.60 GB/s,0 kB/s,25.2 MB/s,1.16 GB/s,0 kB/s,1.60 GB/s
2023-03-24 12:03:30,1.63 GB/s,0 kB/s,24.6 MB/s,1.28 GB/s,0 kB/s,1.63 GB/s
2023-03-24 12:03:45,1.75 GB/s,0 kB/s,23.4 MB/s,1.15 GB/s,0 kB/s,1.76 GB/s
2023-03-24 12:04:00,1.84 GB/s,0 kB/s,20.1 MB/s,1.56 GB/s,0 kB/s,1.84 GB/s
2023-03-24 12:04:15,1.97 GB/s,0 kB/s,32.4 MB/s,1.20 GB/s,0 kB/s,1.98 GB/s
2023-03-24 12:04:30,2.10 GB/s,0 kB/s,24.3 MB/s,1.48 GB/s,0 kB/s,2.11 GB/s
2023-03-24 12:04:45,1.59 GB/s,0 kB/s,19.3 MB/s,1.05 GB/s,0 kB/s,1.59 GB/s
2023-03-24 12:05:00,1.42 GB/s,0 kB/s,21.0 MB/s,1.15 GB/s,0 kB/s,1.42 GB/s
2023-03-24 12:05:15,1.80 GB/s,0 kB/s,15.2 MB/s,1.20 GB/s,0 kB/s,1.80 GB/s
2023-03-24 12:05:30,1.73 GB/s,0 kB/s,18.4 MB/s,1.26 GB/s,0 kB/s,1.73 GB/s
2023-03-24 12:05:45,1.49 GB/s,0 kB/s,19.0 MB/s,1.29 GB/s,0 kB/s,1.49 GB/s
2023-03-24 12:06:00,2.13 GB/s,0 kB/s,31.2 MB/s,1.59 GB/s,0 kB/s,2.14 GB/s
2023-03-24 12:06:15,1.67 GB/s,0 kB/s,22.4 MB/s,1.47 GB/s,0 kB/s,1.68 GB/s
