"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:18:10","0%","0%","0%","0%","0.200%","0%","0.200%","328 MiB","5.20 kB/s","0 kB/s","5.60 kB/s","54.9 kB/s","0 kB/s","6.60 kB/s","1680409090000"
"2023-04-02 11:18:15","0%","0%","0%","0%","0.100%","0.100%","0.300%","328 MiB","8 kB/s","0 kB/s","56.5 kB/s","65.7 kB/s","0 kB/s","10.8 kB/s","1680409095000"
"2023-04-02 11:18:20","0%","0%","0%","0%","0.100%","0.100%","0.300%","328 MiB","8 kB/s","0 kB/s","56.5 kB/s","65.7 kB/s","0 kB/s","10.8 kB/s","1680409100000"
"2023-04-02 11:18:25","0%","0%","0%","0.400%","0.300%","0.700%","3.60%","334 MiB","215 MB/s","0 kB/s","0 kB/s","598 MB/s","0 kB/s","216 MB/s","1680409105000"
"2023-04-02 11:18:30","0%","0%","0%","0.400%","0.300%","0.700%","3.60%","334 MiB","215 MB/s","0 kB/s","0 kB/s","598 MB/s","0 kB/s","216 MB/s","1680409110000"
"2023-04-02 11:18:35","0%","0%","0%","7.90%","7.20%","9.10%","18.6%","343 MiB","5.04 GB/s","0 kB/s","0 kB/s","2.78 GB/s","0 kB/s","5.06 GB/s","1680409115000"
"2023-04-02 11:18:40","0%","0%","0%","7.90%","7.20%","9.10%","18.6%","343 MiB","5.04 GB/s","0 kB/s","0 kB/s","2.78 GB/s","0 kB/s","5.06 GB/s","1680409120000"
"2023-04-02 11:18:45","0%","0%","0%","6.10%","8.10%","6.20%","11.6%","343 MiB","2.82 GB/s","0 kB/s","0 kB/s","1.83 GB/s","0 kB/s","2.83 GB/s","1680409125000"
"2023-04-02 11:18:50","0%","0%","0%","6.10%","8.10%","6.20%","11.6%","343 MiB","2.82 GB/s","0 kB/s","0 kB/s","1.83 GB/s","0 kB/s","2.83 GB/s","1680409130000"
"2023-04-02 11:18:55","0%","0%","0%","5.20%","5.90%","5.20%","19.7%","344 MiB","4.83 GB/s","0 kB/s","0 kB/s","3.25 GB/s","0 kB/s","4.84 GB/s","1680409135000"
"2023-04-02 11:19:00","0%","0%","0%","5.20%","5.90%","5.20%","19.7%","344 MiB","4.83 GB/s","0 kB/s","0 kB/s","3.25 GB/s","0 kB/s","4.84 GB/s","1680409140000"
"2023-04-02 11:19:05","0%","0%","0%","7.40%","11.7%","5.50%","12.5%","344 MiB","3.18 GB/s","0 kB/s","5.60 kB/s","1.81 GB/s","0 kB/s","3.19 GB/s","1680409145000"
"2023-04-02 11:19:10","0%","0%","0%","7.40%","11.7%","5.50%","12.5%","344 MiB","3.18 GB/s","0 kB/s","5.60 kB/s","1.81 GB/s","0 kB/s","3.19 GB/s","1680409150000"
"2023-04-02 11:19:15","0%","0%","0%","6.50%","10.3%","5.80%","16.1%","340 MiB","4.21 GB/s","0 kB/s","83 kB/s","2.63 GB/s","0 kB/s","4.22 GB/s","1680409155000"
"2023-04-02 11:19:20","0%","0%","0%","6.50%","10.3%","5.80%","16.1%","340 MiB","4.21 GB/s","0 kB/s","83 kB/s","2.63 GB/s","0 kB/s","4.22 GB/s","1680409160000"
"2023-04-02 11:19:25","0%","0%","0%","5.60%","7.00%","4.60%","10.8%","340 MiB","2.23 GB/s","0 kB/s","11.2 kB/s","1.47 GB/s","0 kB/s","2.24 GB/s","1680409165000"
"2023-04-02 11:19:30","0%","0%","0%","5.60%","7.00%","4.60%","10.8%","340 MiB","2.23 GB/s","0 kB/s","11.2 kB/s","1.47 GB/s","0 kB/s","2.24 GB/s","1680409170000"
