"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-02 11:18:10,5.20 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s,6.60 kB/s,0 kB/s,5.40 kB/s,952 kB/s,0 kB/s,6.60 kB/s
2023-04-02 11:18:20,8 kB/s,0 kB/s,56.5 kB/s,65.7 kB/s,0 kB/s,10.8 kB/s,10.8 kB/s,0 kB/s,288 kB/s,962 kB/s,0 kB/s,10.8 kB/s
2023-04-02 11:18:30,215 MB/s,0 kB/s,0 kB/s,598 MB/s,0 kB/s,216 MB/s,598 MB/s,0 kB/s,0 kB/s,217 MB/s,0 kB/s,598 MB/s
2023-04-02 11:18:40,5.04 GB/s,0 kB/s,0 kB/s,2.78 GB/s,0 kB/s,5.06 GB/s,2.78 GB/s,0 kB/s,0 kB/s,5.06 GB/s,0 kB/s,2.78 GB/s
2023-04-02 11:18:50,2.82 GB/s,0 kB/s,0 kB/s,1.83 GB/s,0 kB/s,2.83 GB/s,1.83 GB/s,0 kB/s,0 kB/s,2.83 GB/s,0 kB/s,1.83 GB/s
2023-04-02 11:19:00,4.83 GB/s,0 kB/s,0 kB/s,3.25 GB/s,0 kB/s,4.84 GB/s,3.25 GB/s,0 kB/s,0 kB/s,4.84 GB/s,0 kB/s,3.25 GB/s
2023-04-02 11:19:10,3.18 GB/s,0 kB/s,5.60 kB/s,1.81 GB/s,0 kB/s,3.19 GB/s,1.80 GB/s,0 kB/s,5.40 kB/s,3.20 GB/s,0 kB/s,1.80 GB/s
2023-04-02 11:19:20,4.21 GB/s,0 kB/s,83 kB/s,2.63 GB/s,0 kB/s,4.22 GB/s,2.63 GB/s,0 kB/s,77.4 kB/s,4.22 GB/s,0 kB/s,2.63 GB/s
2023-04-02 11:19:30,2.23 GB/s,0 kB/s,11.2 kB/s,1.47 GB/s,0 kB/s,2.24 GB/s,1.47 GB/s,0 kB/s,5.40 kB/s,2.24 GB/s,0 kB/s,1.47 GB/s
2023-04-02 11:19:40,3.59 GB/s,0 kB/s,5.80 kB/s,2.22 GB/s,0 kB/s,3.60 GB/s,2.22 GB/s,0 kB/s,5.40 kB/s,3.60 GB/s,0 kB/s,2.22 GB/s
2023-04-02 11:19:50,4.27 GB/s,0 kB/s,28.2 kB/s,2.93 GB/s,0 kB/s,4.29 GB/s,2.93 GB/s,0 kB/s,21.6 kB/s,4.29 GB/s,0 kB/s,2.93 GB/s
2023-04-02 11:20:00,2.84 GB/s,0 kB/s,11.6 kB/s,1.55 GB/s,0 kB/s,2.85 GB/s,1.55 GB/s,0 kB/s,4.20 kB/s,2.85 GB/s,0 kB/s,1.55 GB/s
2023-04-02 11:20:10,4.14 GB/s,0 kB/s,0 kB/s,2.56 GB/s,0 kB/s,4.14 GB/s,2.56 GB/s,0 kB/s,0 kB/s,4.14 GB/s,0 kB/s,2.56 GB/s
2023-04-02 11:20:20,3.03 GB/s,0 kB/s,67.7 kB/s,1.97 GB/s,0 kB/s,3.04 GB/s,1.97 GB/s,0 kB/s,298 kB/s,3.04 GB/s,0 kB/s,1.97 GB/s
2023-04-02 11:20:30,4.39 GB/s,0 kB/s,0 kB/s,2.73 GB/s,0 kB/s,4.40 GB/s,2.73 GB/s,0 kB/s,0 kB/s,4.40 GB/s,0 kB/s,2.73 GB/s
2023-04-02 11:20:40,3.86 GB/s,0 kB/s,5.80 kB/s,2.52 GB/s,0 kB/s,3.87 GB/s,2.52 GB/s,0 kB/s,5.40 kB/s,3.87 GB/s,0 kB/s,2.52 GB/s
2023-04-02 11:20:50,4.43 GB/s,0 kB/s,5.60 kB/s,2.67 GB/s,0 kB/s,4.44 GB/s,2.67 GB/s,0 kB/s,5.40 kB/s,4.44 GB/s,0 kB/s,2.67 GB/s
2023-04-02 11:21:00,2.08 GB/s,0 kB/s,51.7 kB/s,1.32 GB/s,0 kB/s,2.08 GB/s,1.32 GB/s,0 kB/s,54.3 kB/s,2.09 GB/s,0 kB/s,1.32 GB/s
2023-04-02 11:21:10,1.87 GB/s,0 kB/s,11.6 kB/s,1.34 GB/s,0 kB/s,1.88 GB/s,1.34 GB/s,0 kB/s,9.60 kB/s,1.89 GB/s,0 kB/s,1.34 GB/s
2023-04-02 11:21:20,2.43 GB/s,0 kB/s,5.80 kB/s,1.53 GB/s,0 kB/s,2.45 GB/s,1.53 GB/s,0 kB/s,5.40 kB/s,2.45 GB/s,0 kB/s,1.53 GB/s
2023-04-02 11:21:30,1.18 GB/s,0 kB/s,0 kB/s,770 MB/s,0 kB/s,1.19 GB/s,770 MB/s,0 kB/s,0 kB/s,1.19 GB/s,0 kB/s,770 MB/s
2023-04-02 11:21:40,2.26 GB/s,0 kB/s,11.2 kB/s,1.45 GB/s,0 kB/s,2.27 GB/s,1.45 GB/s,0 kB/s,5.40 kB/s,2.27 GB/s,0 kB/s,1.45 GB/s
2023-04-02 11:21:50,1.68 GB/s,0 kB/s,17.2 kB/s,1.07 GB/s,0 kB/s,1.69 GB/s,1.07 GB/s,0 kB/s,15 kB/s,1.69 GB/s,0 kB/s,1.07 GB/s
2023-04-02 11:22:00,1.67 GB/s,0 kB/s,0 kB/s,1.08 GB/s,0 kB/s,1.68 GB/s,1.08 GB/s,0 kB/s,0 kB/s,1.68 GB/s,0 kB/s,1.08 GB/s
2023-04-02 11:22:10,626 MB/s,0 kB/s,11.2 kB/s,425 MB/s,0 kB/s,632 MB/s,425 MB/s,0 kB/s,5.40 kB/s,632 MB/s,0 kB/s,425 MB/s
2023-04-02 11:22:20,1.88 GB/s,0 kB/s,107 kB/s,1.19 GB/s,0 kB/s,1.88 GB/s,1.19 GB/s,0 kB/s,334 kB/s,1.88 GB/s,0 kB/s,1.19 GB/s
2023-04-02 11:22:30,1.75 GB/s,0 kB/s,58.8 kB/s,1.14 GB/s,0 kB/s,1.76 GB/s,1.14 GB/s,0 kB/s,58.8 kB/s,1.76 GB/s,0 kB/s,1.14 GB/s
2023-04-02 11:22:40,2.44 GB/s,0 kB/s,22.4 kB/s,1.52 GB/s,0 kB/s,2.45 GB/s,1.52 GB/s,0 kB/s,16.2 kB/s,2.45 GB/s,0 kB/s,1.52 GB/s
2023-04-02 11:22:50,2.05 GB/s,0 kB/s,0 kB/s,1.29 GB/s,0 kB/s,2.06 GB/s,1.29 GB/s,0 kB/s,0 kB/s,2.06 GB/s,0 kB/s,1.29 GB/s
2023-04-02 11:23:00,1.65 GB/s,0 kB/s,0 kB/s,1.02 GB/s,0 kB/s,1.65 GB/s,1.02 GB/s,0 kB/s,0 kB/s,1.65 GB/s,0 kB/s,1.02 GB/s
2023-04-02 11:23:10,1.42 GB/s,0 kB/s,17.2 kB/s,1.23 GB/s,0 kB/s,1.42 GB/s,1.23 GB/s,0 kB/s,9.60 kB/s,1.43 GB/s,0 kB/s,1.23 GB/s
2023-04-02 11:23:20,3.48 GB/s,0 kB/s,11.6 kB/s,1.81 GB/s,0 kB/s,3.48 GB/s,1.81 GB/s,0 kB/s,9.60 kB/s,3.48 GB/s,0 kB/s,1.81 GB/s
2023-04-02 11:23:30,2.05 GB/s,0 kB/s,5.80 kB/s,1.31 GB/s,0 kB/s,2.06 GB/s,1.31 GB/s,0 kB/s,5.40 kB/s,2.06 GB/s,0 kB/s,1.31 GB/s
