"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-16 00:40:50,0%,0%,0%,0%,0%,0.200%,0.200%
2023-04-16 00:41:00,0%,0%,0%,0%,0.100%,0%,0.100%
2023-04-16 00:41:10,0%,0%,0%,0%,0%,0.100%,0.200%
2023-04-16 00:41:20,0%,0%,0%,2.60%,1.70%,4.50%,10.1%
2023-04-16 00:41:30,0%,0%,0%,3.80%,2.60%,3.70%,14.4%
2023-04-16 00:41:40,0%,0%,0%,2.60%,1.10%,4.30%,15.3%
2023-04-16 00:41:50,0%,0%,0%,3.60%,1.60%,4.40%,12.0%
2023-04-16 00:42:00,0%,0%,0%,5.30%,2.60%,6.40%,15.6%
2023-04-16 00:42:10,0%,0%,0%,2.20%,1.10%,3.30%,11.8%
2023-04-16 00:42:20,0%,0%,0%,2.40%,1.000%,3.00%,12.0%
2023-04-16 00:42:30,0%,0%,0%,2.10%,0.600%,2.30%,11.4%
2023-04-16 00:42:40,0%,0%,0%,4.50%,1.90%,6.10%,17.9%
2023-04-16 00:42:50,0%,0%,0%,1.40%,0.800%,2.80%,14.3%
2023-04-16 00:43:00,0%,0%,0%,3.00%,2.30%,4.10%,14.8%
2023-04-16 00:43:10,0%,0%,0%,5.20%,2.90%,6.70%,7.90%
2023-04-16 00:43:20,0%,0%,0%,3.20%,1.50%,3.70%,9.40%
2023-04-16 00:43:30,0%,0%,0%,4.40%,2.60%,5.90%,10.8%
2023-04-16 00:43:40,0%,0%,0%,3.10%,1.50%,4.40%,7.50%
2023-04-16 00:43:50,0%,0%,0%,4.60%,1.60%,5.70%,9.50%
2023-04-16 00:44:00,0%,0%,0%,4.30%,2.00%,5.30%,10.6%
2023-04-16 00:44:10,0%,0%,0%,2.90%,1.50%,3.40%,7.20%
2023-04-16 00:44:20,0%,0%,0%,1.60%,0.600%,1.30%,7.60%
2023-04-16 00:44:30,0%,0%,0%,0.800%,0.300%,0.800%,5.30%
2023-04-16 00:44:40,0%,0%,0%,2.50%,1.40%,3.10%,8.30%
2023-04-16 00:44:50,0%,0%,0%,1.30%,0.600%,2.40%,6.60%
2023-04-16 00:45:00,0%,0%,0%,2.80%,1.20%,3.00%,9.80%
2023-04-16 00:45:10,0%,0%,0%,2.70%,1.70%,3.90%,7.30%
2023-04-16 00:45:20,0%,0%,0%,3.90%,2.10%,4.00%,6.70%
2023-04-16 00:45:30,0%,0%,0%,2.30%,0.900%,3.30%,7.40%
2023-04-16 00:45:40,0%,0%,0%,3.00%,1.30%,4.00%,7.20%
2023-04-16 00:45:50,0%,0%,0%,2.30%,0.900%,3.50%,9.30%
2023-04-16 00:46:00,0%,0%,0%,2.00%,1.000%,2.90%,4.40%
2023-04-16 00:46:10,0%,0%,0%,2.50%,2.20%,3.00%,10.5%
2023-04-16 00:46:20,0%,0%,0%,3.40%,2.00%,2.60%,6.40%
2023-04-16 00:46:30,0%,0%,0%,3.40%,1.60%,4.30%,8.70%
2023-04-16 00:46:40,0%,0%,0%,3.10%,1.50%,3.20%,9.70%
2023-04-16 00:46:50,0%,0%,0%,2.10%,1.40%,4.00%,6.70%
2023-04-16 00:47:00,0%,0%,0%,2.60%,1.30%,4.80%,6.60%
2023-04-16 00:47:10,0%,0%,0%,1.000%,0.400%,0.700%,8.40%
2023-04-16 00:47:20,0%,0%,0%,1.70%,0.900%,2.40%,5.80%
2023-04-16 00:47:30,0%,0%,0%,1.90%,1.70%,3.80%,7.60%
2023-04-16 00:47:40,0%,0%,0%,2.00%,1.30%,2.10%,7.70%
2023-04-16 00:47:50,0%,0%,0%,1.50%,1.00%,2.00%,6.40%
2023-04-16 00:48:00,0%,0%,0%,0.700%,0.800%,1.70%,5.70%
2023-04-16 00:48:10,0%,0%,0%,1.90%,1.000%,2.60%,6.20%
2023-04-16 00:48:20,0%,0%,0%,2.00%,0.700%,2.60%,7.60%
2023-04-16 00:48:30,0%,0%,0%,2.30%,1.10%,3.60%,7.30%
2023-04-16 00:48:40,0%,0%,0%,2.10%,0.900%,3.20%,8.50%
2023-04-16 00:48:50,0%,0%,0%,1.30%,0.500%,1.80%,6.20%
2023-04-16 00:49:00,0%,0%,0%,0.1000%,0.1000%,0.300%,0.200%
2023-04-16 00:49:10,0%,0%,0%,0.900%,0.500%,1.10%,1.60%
2023-04-16 00:49:20,0%,0%,0%,0.700%,0.400%,1.10%,1.40%
2023-04-16 00:49:30,0%,0%,0%,1.50%,0.400%,1.20%,4.30%
2023-04-16 00:49:40,0%,0%,0%,1.70%,0.800%,1.60%,1.70%
2023-04-16 00:49:50,0%,0%,0%,1.10%,0.300%,1.30%,3.90%
2023-04-16 00:50:00,0%,0%,0%,0.700%,0.1000%,0.800%,1.10%
2023-04-16 00:50:10,0%,0%,0%,1.20%,0.500%,1.20%,2.20%
2023-04-16 00:50:20,0%,0%,0%,0.800%,0.400%,1.50%,2.80%
2023-04-16 00:50:30,0%,0%,0%,0.200%,0.100%,0.100%,1.70%
2023-04-16 00:50:40,0%,0%,0%,1.000%,0.600%,1.20%,1.40%
2023-04-16 00:50:50,0%,0%,0%,2.50%,1.30%,3.90%,4.50%
2023-04-16 00:51:00,0%,0%,0%,0.500%,0.400%,1.20%,2.40%
2023-04-16 00:51:10,0%,0%,0%,0.200%,0.200%,0.500%,2.70%
2023-04-16 00:51:20,0%,0%,0%,0.200%,0.1000%,0.200%,1.20%
2023-04-16 00:51:30,0%,0%,0%,0.100%,0.100%,0.400%,2.30%
2023-04-16 00:51:40,0%,0%,0%,0.300%,0.600%,0.700%,3.30%
2023-04-16 00:51:50,0%,0%,0%,0.300%,0.200%,0.800%,2.30%
2023-04-16 00:52:00,0%,0%,0%,1.000%,0.500%,1.60%,2.50%
2023-04-16 00:52:10,0%,0%,0%,0.300%,0.300%,0.600%,1.70%
2023-04-16 00:52:20,0%,0%,0%,1.60%,1.30%,2.10%,2.80%
2023-04-16 00:52:30,0%,0%,0%,0%,0.200%,0.100%,0.100%
2023-04-16 00:52:40,0%,0%,0%,0.700%,0.700%,0.700%,1.30%
2023-04-16 00:52:50,0%,0%,0%,0.600%,0.100%,0.700%,0.700%
2023-04-16 00:53:00,0%,0%,0%,0.600%,0.400%,1.30%,1.20%
2023-04-16 00:53:10,0%,0%,0%,0%,0%,0.1000%,0.300%
2023-04-16 00:53:20,0%,0%,0%,0%,0.100%,0.200%,0.100%
2023-04-16 00:53:30,0%,0%,0%,0.500%,0.700%,1.20%,1.00%
2023-04-16 00:53:40,0%,0%,0%,0.300%,0.400%,1.00%,0.900%
2023-04-16 00:53:50,0%,0%,0%,0%,0%,0.200%,1.60%
2023-04-16 00:54:00,0%,0%,0%,0.1000%,0%,0%,1.80%
2023-04-16 00:54:10,0%,0%,0%,0.200%,0.100%,0.400%,1.70%
2023-04-16 00:54:20,0%,0%,0%,0%,0.100%,0%,0.400%
2023-04-16 00:54:30,0%,0%,0%,0.100%,0%,0.300%,1.30%
2023-04-16 00:54:40,0%,0%,0%,0.400%,0.600%,0.900%,1.00%
2023-04-16 00:54:50,0%,0%,0%,0.1000%,0%,0.100%,1.20%
2023-04-16 00:55:00,0%,0%,0%,0.500%,0.500%,1.10%,3.30%
2023-04-16 00:55:10,0%,0%,0%,1.40%,1.70%,1.90%,8.40%
2023-04-16 00:55:20,0%,0%,0%,2.00%,2.10%,1.80%,3.40%
2023-04-16 00:55:30,0%,0%,0%,0.800%,0.700%,1.70%,7.90%
2023-04-16 00:55:40,0%,0%,0%,0.900%,0.600%,1.40%,9.10%
2023-04-16 00:55:50,0%,0%,0%,0.600%,0.300%,0.800%,4.30%
2023-04-16 00:56:00,0%,0%,0%,1.60%,1.00%,2.00%,3.20%
2023-04-16 00:56:10,0%,0%,0%,1.10%,0.500%,0.700%,5.50%
