"Time","Used","Buffer","Cached","Free"
2023-04-16 00:40:50,365 MiB,31.1 MiB,405 MiB,169 MiB
2023-04-16 00:41:00,365 MiB,31.1 MiB,405 MiB,169 MiB
2023-04-16 00:41:10,365 MiB,31.1 MiB,405 MiB,169 MiB
2023-04-16 00:41:20,372 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 00:41:30,371 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:41:40,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:41:50,372 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 00:42:00,376 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 00:42:10,376 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 00:42:20,374 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 00:42:30,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:42:40,368 MiB,31.1 MiB,405 MiB,166 MiB
2023-04-16 00:42:50,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:43:00,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:43:10,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:43:20,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:43:30,368 MiB,31.1 MiB,405 MiB,165 MiB
2023-04-16 00:43:40,372 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 00:43:50,372 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 00:44:00,370 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:44:10,374 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 00:44:20,374 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 00:44:30,374 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 00:44:40,370 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:44:50,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:45:00,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:45:10,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:45:20,361 MiB,31.1 MiB,405 MiB,172 MiB
2023-04-16 00:45:30,370 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:45:40,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:45:50,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 00:46:00,368 MiB,31.1 MiB,405 MiB,166 MiB
2023-04-16 00:46:10,368 MiB,31.1 MiB,405 MiB,166 MiB
