"Time","Timestamp","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","TimeToFail"
"2023-04-16 13:48:25","1681627705000","0","0","0","0","0","0.001","0.002","373","34","415","147","0.010400000000000001","0","0.0114","0.0747","0","0.0132","0.0198","0","0.0108","0.966","0","0.0198","1600422"
"2023-04-16 13:48:30","1681627710000","0","0","0","0","0.001","0","0.001","373","34","415","147","0.020800000000000003","0","0.016800000000000002","0.0945","0","0.0264","0.0396","0","0.0162","0.979","0","0.0396","1595422"
"2023-04-16 13:48:35","1681627715000","0","0","0","0","0.001","0","0.001","373","34","415","147","0.020800000000000003","0","0.016800000000000002","0.0945","0","0.0264","0.0396","0","0.0162","0.979","0","0.0396","1590422"
"2023-04-16 13:48:40","1681627720000","0","0","0","0","0","0","0.003","373","34","415","147","0.010400000000000001","0","0.0058","0.0681","0","0.0132","0.0132","0","0.0054","0.967","0","0.0132","1585422"
"2023-04-16 13:48:45","1681627725000","0","0","0","0","0","0","0.003","373","34","415","147","0.010400000000000001","0","0.0058","0.0681","0","0.0132","0.0132","0","0.0054","0.967","0","0.0132","1580422"
"2023-04-16 13:48:50","1681627730000","0","0","0","0.028999999999999998","0.006999999999999999","0.026000000000000002","0.114","399","34","415","121","3490","0","0","2200","0","3500","2200","0","0","3500","0","2200","1575422"
"2023-04-16 13:48:55","1681627735000","0","0","0","0.028999999999999998","0.006999999999999999","0.026000000000000002","0.114","399","34","415","121","3490","0","0","2200","0","3500","2200","0","0","3500","0","2200","1570422"
"2023-04-16 13:49:00","1681627740000","0","0","0","0.042","0.031","0.04","0.153","397","34","415","123","4670","0","0.0396","2930","0","4680","2930","0","0.020399999999999998","4680","0","2930","1565422"
"2023-04-16 13:49:05","1681627745000","0","0","0","0.042","0.031","0.04","0.153","397","34","415","123","4670","0","0.0396","2930","0","4680","2930","0","0.020399999999999998","4680","0","2930","1560422"
"2023-04-16 13:49:10","1681627750000","0","0","0","0.045","0.04","0.055999999999999994","0.109","379","34","415","141","2210","0","0.0074","1450","0","2230","1450","0","0.0054","2230","0","1450","1555422"
"2023-04-16 13:49:15","1681627755000","0","0","0","0.045","0.04","0.055999999999999994","0.109","379","34","415","141","2210","0","0.0074","1450","0","2230","1450","0","0.0054","2230","0","1450","1550422"
"2023-04-16 13:49:20","1681627760000","0","0","0","0.042","0.027000000000000003","0.046","0.08800000000000001","377","34","415","143","1860","0","0.016800000000000002","1220","0","1870","1220","0","0.015","1880","0","1220","1545422"
"2023-04-16 13:49:25","1681627765000","0","0","0","0.042","0.027000000000000003","0.046","0.08800000000000001","377","34","415","143","1860","0","0.016800000000000002","1220","0","1870","1220","0","0.015","1880","0","1220","1540422"
"2023-04-16 13:49:30","1681627770000","0","0","0","0.02","0.01","0.021","0.11","375","34","415","145","3710","0","0","2330","0","3720","2330","0","0","3720","0","2330","1535422"
"2023-04-16 13:49:35","1681627775000","0","0","0","0.02","0.01","0.021","0.11","375","34","415","145","3710","0","0","2330","0","3720","2330","0","0","3720","0","2330","1530422"
"2023-04-16 13:49:40","1681627780000","0","0","0","0.033","0.013999999999999999","0.043","0.126","370","34","415","149","2920","0","0","2170","0","2930","2170","0","0","2930","0","2170","1525422"
"2023-04-16 13:49:45","1681627785000","0","0","0","0.033","0.013999999999999999","0.043","0.126","370","34","415","149","2920","0","0","2170","0","2930","2170","0","0","2930","0","2170","1520422"
"2023-04-16 13:49:50","1681627790000","0","0","0","0.045","0.018000000000000002","0.054000000000000006","0.136","371","34","415","149","3700","0","0","2110","0","3720","2110","0","0","3720","0","2110","1515422"
"2023-04-16 13:49:55","1681627795000","0","0","0","0.045","0.018000000000000002","0.054000000000000006","0.136","371","34","415","149","3700","0","0","2110","0","3720","2110","0","0","3720","0","2110","1510422"
"2023-04-16 13:50:00","1681627800000","0","0","0","0.032","0.017","0.040999999999999995","0.09","371","34","415","149","2150","0","0.0747","1390","0","2160","1390","0","0.309","2160","0","1390","1505422"
"2023-04-16 13:50:05","1681627805000","0","0","0","0.032","0.017","0.040999999999999995","0.09","371","34","415","149","2150","0","0.0747","1390","0","2160","1390","0","0.309","2160","0","1390","1500422"
"2023-04-16 13:50:10","1681627810000","0","0","0","0.042","0.034","0.047","0.153","375","34","415","145","4110","0","0","2600","0","4120","2600","0","0","4120","0","2600","1495422"
"2023-04-16 13:50:15","1681627815000","0","0","0","0.042","0.034","0.047","0.153","375","34","415","145","4110","0","0","2600","0","4120","2600","0","0","4120","0","2600","1490422"
"2023-04-16 13:50:20","1681627820000","0","0","0","0.035","0.013999999999999999","0.061","0.129","385","34","415","135","3230","0","0.016800000000000002","2090","0","3250","2090","0","0.015","3250","0","2090","1485422"
"2023-04-16 13:50:25","1681627825000","0","0","0","0.035","0.013999999999999999","0.061","0.129","385","34","415","135","3230","0","0.016800000000000002","2090","0","3250","2090","0","0.015","3250","0","2090","1480422"
"2023-04-16 13:50:30","1681627830000","0","0","0","0.065","0.038","0.069","0.139","382","34","415","137","2860","0","0.0332","2190","0","2870","2190","0","0.0302","2880","0","2190","1475422"
"2023-04-16 13:50:35","1681627835000","0","0","0","0.065","0.038","0.069","0.139","382","34","415","137","2860","0","0.0332","2190","0","2870","2190","0","0.0302","2880","0","2190","1470422"
"2023-04-16 13:50:40","1681627840000","0","0","0","0.052000000000000005","0.022000000000000002","0.055999999999999994","0.129","381","34","415","139","3210","0","0.0588","1780","0","3220","1780","0","0.0588","3230","0","1780","1465422"
"2023-04-16 13:50:45","1681627845000","0","0","0","0.052000000000000005","0.022000000000000002","0.055999999999999994","0.129","381","34","415","139","3210","0","0.0588","1780","0","3220","1780","0","0.0588","3230","0","1780","1460422"
"2023-04-16 13:50:50","1681627850000","0","0","0","0.045","0.017","0.065","0.142","381","34","415","139","3710","0","0.019600000000000003","2340","0","3720","2340","0","0.019600000000000003","3720","0","2340","1455422"
"2023-04-16 13:50:55","1681627855000","0","0","0","0.045","0.017","0.065","0.142","381","34","415","139","3710","0","0.019600000000000003","2340","0","3720","2340","0","0.019600000000000003","3720","0","2340","1450422"
"2023-04-16 13:51:00","1681627860000","0","0","0","0.044000000000000004","0.022000000000000002","0.062","0.14","379","34","415","141","3680","0","0.078","2330","0","3700","2330","0","0.0738","3700","0","2330","1445422"
"2023-04-16 13:51:05","1681627865000","0","0","0","0.044000000000000004","0.022000000000000002","0.062","0.14","379","34","415","141","3680","0","0.078","2330","0","3700","2330","0","0.0738","3700","0","2330","1440422"
