"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
"2023-04-16 13:48:25","1681627705000","0%","0%","0%","0%","0%","0.100%","0.200%","373 MiB","34.0 MiB","415 MiB","147 MiB","10.4 kB/s","0 kB/s","11.4 kB/s","74.7 kB/s","0 kB/s","13.2 kB/s","19.8 kB/s","0 kB/s","10.8 kB/s","966 kB/s","0 kB/s","19.8 kB/s"
"2023-04-16 13:48:30","1681627710000","0%","0%","0%","0%","0.100%","0%","0.1000%","373 MiB","34.0 MiB","415 MiB","147 MiB","20.8 kB/s","0 kB/s","16.8 kB/s","94.5 kB/s","0 kB/s","26.4 kB/s","39.6 kB/s","0 kB/s","16.2 kB/s","979 kB/s","0 kB/s","39.6 kB/s"
"2023-04-16 13:48:35","1681627715000","0%","0%","0%","0%","0.100%","0%","0.1000%","373 MiB","34.0 MiB","415 MiB","147 MiB","20.8 kB/s","0 kB/s","16.8 kB/s","94.5 kB/s","0 kB/s","26.4 kB/s","39.6 kB/s","0 kB/s","16.2 kB/s","979 kB/s","0 kB/s","39.6 kB/s"
"2023-04-16 13:48:40","1681627720000","0%","0%","0%","0%","0%","0%","0.300%","373 MiB","34.0 MiB","415 MiB","147 MiB","10.4 kB/s","0 kB/s","5.80 kB/s","68.1 kB/s","0 kB/s","13.2 kB/s","13.2 kB/s","0 kB/s","5.40 kB/s","967 kB/s","0 kB/s","13.2 kB/s"
"2023-04-16 13:48:45","1681627725000","0%","0%","0%","0%","0%","0%","0.300%","373 MiB","34.0 MiB","415 MiB","147 MiB","10.4 kB/s","0 kB/s","5.80 kB/s","68.1 kB/s","0 kB/s","13.2 kB/s","13.2 kB/s","0 kB/s","5.40 kB/s","967 kB/s","0 kB/s","13.2 kB/s"
"2023-04-16 13:48:50","1681627730000","0%","0%","0%","2.90%","0.700%","2.60%","11.4%","399 MiB","34.0 MiB","415 MiB","121 MiB","3.49 GB/s","0 kB/s","0 kB/s","2.20 GB/s","0 kB/s","3.50 GB/s","2.20 GB/s","0 kB/s","0 kB/s","3.50 GB/s","0 kB/s","2.20 GB/s"
"2023-04-16 13:48:55","1681627735000","0%","0%","0%","2.90%","0.700%","2.60%","11.4%","399 MiB","34.0 MiB","415 MiB","121 MiB","3.49 GB/s","0 kB/s","0 kB/s","2.20 GB/s","0 kB/s","3.50 GB/s","2.20 GB/s","0 kB/s","0 kB/s","3.50 GB/s","0 kB/s","2.20 GB/s"
"2023-04-16 13:49:00","1681627740000","0%","0%","0%","4.20%","3.10%","4.00%","15.3%","397 MiB","34.0 MiB","415 MiB","123 MiB","4.67 GB/s","0 kB/s","39.6 kB/s","2.93 GB/s","0 kB/s","4.68 GB/s","2.93 GB/s","0 kB/s","20.4 kB/s","4.68 GB/s","0 kB/s","2.93 GB/s"
"2023-04-16 13:49:05","1681627745000","0%","0%","0%","4.20%","3.10%","4.00%","15.3%","397 MiB","34.0 MiB","415 MiB","123 MiB","4.67 GB/s","0 kB/s","39.6 kB/s","2.93 GB/s","0 kB/s","4.68 GB/s","2.93 GB/s","0 kB/s","20.4 kB/s","4.68 GB/s","0 kB/s","2.93 GB/s"
"2023-04-16 13:49:10","1681627750000","0%","0%","0%","4.50%","4.00%","5.60%","10.9%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.21 GB/s","0 kB/s","7.40 kB/s","1.45 GB/s","0 kB/s","2.23 GB/s","1.45 GB/s","0 kB/s","5.40 kB/s","2.23 GB/s","0 kB/s","1.45 GB/s"
