"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-01 16:52:00,0%,0%,0%,0%,0.1000%,0%,0.100%
2023-04-01 16:52:05,0%,0%,0%,0%,0%,0.1000%,0.300%
2023-04-01 16:52:10,0%,0%,0%,0%,0%,0.1000%,0.300%
2023-04-01 16:52:15,0%,0%,0%,0%,0.100%,0%,0.200%
2023-04-01 16:52:20,0%,0%,0%,0%,0.100%,0%,0.200%
2023-04-01 16:52:25,0%,0%,0%,0%,0.1000%,0.200%,0.200%
2023-04-01 16:52:30,0%,0%,0%,0%,0.1000%,0.200%,0.200%
2023-04-01 16:52:35,0%,0%,0%,0%,0.100%,0%,0.300%
2023-04-01 16:52:40,0%,0%,0%,0%,0.100%,0%,0.300%
2023-04-01 16:52:45,0%,0%,0%,3.70%,1.60%,4.10%,6.40%
2023-04-01 16:52:50,0%,0%,0%,3.70%,1.60%,4.10%,6.40%
2023-04-01 16:52:55,0%,0%,0%,11.8%,5.50%,11.1%,17.1%
2023-04-01 16:53:00,0%,0%,0%,11.8%,5.50%,11.1%,17.1%
2023-04-01 16:53:05,0%,0%,0%,13.4%,6.50%,9.40%,17.6%
2023-04-01 16:53:10,0%,0%,0%,13.4%,6.50%,9.40%,17.6%
2023-04-01 16:53:15,0%,0%,0%,12.5%,4.40%,8.90%,16.0%
2023-04-01 16:53:20,0%,0%,0%,12.5%,4.40%,8.90%,16.0%
2023-04-01 16:53:25,0%,0%,0%,13.8%,7.60%,11.1%,16.2%
2023-04-01 16:53:30,0%,0%,0%,13.8%,7.60%,11.1%,16.2%
2023-04-01 16:53:35,0%,0%,0%,13.1%,5.10%,9.30%,14.6%
2023-04-01 16:53:40,0%,0%,0%,13.1%,5.10%,9.30%,14.6%
2023-04-01 16:53:45,0%,0%,0%,13.0%,5.20%,10.3%,14.0%
2023-04-01 16:53:50,0%,0%,0%,13.0%,5.20%,10.3%,14.0%
2023-04-01 16:53:55,0%,0%,0%,12.7%,4.90%,9.40%,17.2%
2023-04-01 16:54:00,0%,0%,0%,12.7%,4.90%,9.40%,17.2%
2023-04-01 16:54:05,0%,0%,0%,13.4%,6.30%,8.90%,17.1%
2023-04-01 16:54:10,0%,0%,0%,13.4%,6.30%,8.90%,17.1%
2023-04-01 16:54:15,0%,0%,0%,13.1%,5.90%,10.6%,15.6%
2023-04-01 16:54:20,0%,0%,0%,13.1%,5.90%,10.6%,15.6%
2023-04-01 16:54:25,0%,0%,0%,13.3%,4.40%,10%,15.8%
2023-04-01 16:54:30,0%,0%,0%,13.3%,4.40%,10%,15.8%
2023-04-01 16:54:35,0%,0%,0%,12.8%,4.60%,10.2%,16.7%
2023-04-01 16:54:40,0%,0%,0%,12.8%,4.60%,10.2%,16.7%
2023-04-01 16:54:45,0%,0%,0%,13.5%,4.40%,10.6%,15%
2023-04-01 16:54:50,0%,0%,0%,13.5%,4.40%,10.6%,15%
2023-04-01 16:54:55,0%,0%,0%,12.3%,6.70%,9.60%,18.3%
2023-04-01 16:55:00,0%,0%,0%,12.3%,6.70%,9.60%,18.3%
2023-04-01 16:55:05,0%,0%,0%,11.7%,9.50%,8.50%,17.4%
2023-04-01 16:55:10,0%,0%,0%,11.7%,9.50%,8.50%,17.4%
2023-04-01 16:55:15,0.100%,0%,0%,12.4%,8.30%,9.10%,14.2%
2023-04-01 16:55:20,0.100%,0%,0%,12.4%,8.30%,9.10%,14.2%
2023-04-01 16:55:25,0%,0%,0%,12.1%,3.90%,10.3%,16.4%
2023-04-01 16:55:30,0%,0%,0%,12.1%,3.90%,10.3%,16.4%
2023-04-01 16:55:35,0%,0%,0%,11.4%,6.70%,10.6%,15.2%
2023-04-01 16:55:40,0%,0%,0%,11.4%,6.70%,10.6%,15.2%
2023-04-01 16:55:45,0%,0%,0%,11.8%,7.00%,9.20%,12.5%
2023-04-01 16:55:50,0%,0%,0%,11.8%,7.00%,9.20%,12.5%
2023-04-01 16:55:55,0%,0%,0%,7.80%,5.50%,8.00%,8.60%
2023-04-01 16:56:00,0%,0%,0%,7.80%,5.50%,8.00%,8.60%
2023-04-01 16:56:05,0%,0%,0%,11.1%,9.90%,9.80%,14.9%
2023-04-01 16:56:10,0%,0%,0%,11.1%,9.90%,9.80%,14.9%
2023-04-01 16:56:15,0%,0%,0%,11.7%,7.80%,9.70%,14.8%
