"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-04-01 16:52:00,10.4 kB/s,0 kB/s,11.2 kB/s,68.1 kB/s,0 kB/s,13.2 kB/s
2023-04-01 16:52:05,5.20 kB/s,0 kB/s,62.1 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:10,5.20 kB/s,0 kB/s,62.1 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:15,5.20 kB/s,0 kB/s,5.60 kB/s,65.7 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:20,5.20 kB/s,0 kB/s,5.60 kB/s,65.7 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:25,13.2 kB/s,0 kB/s,0 kB/s,72.3 kB/s,0 kB/s,17.4 kB/s
2023-04-01 16:52:30,13.2 kB/s,0 kB/s,0 kB/s,72.3 kB/s,0 kB/s,17.4 kB/s
2023-04-01 16:52:35,5.20 kB/s,0 kB/s,9.80 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:40,5.20 kB/s,0 kB/s,9.80 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-04-01 16:52:45,1.00 GB/s,0 kB/s,13.4 kB/s,949 MB/s,0 kB/s,1.01 GB/s
2023-04-01 16:52:50,1.00 GB/s,0 kB/s,13.4 kB/s,949 MB/s,0 kB/s,1.01 GB/s
2023-04-01 16:52:55,2.10 GB/s,0 kB/s,7.40 kB/s,1.78 GB/s,0 kB/s,2.13 GB/s
2023-04-01 16:53:00,2.10 GB/s,0 kB/s,7.40 kB/s,1.78 GB/s,0 kB/s,2.13 GB/s
2023-04-01 16:53:05,2.47 GB/s,0 kB/s,6 kB/s,1.86 GB/s,0 kB/s,2.50 GB/s
2023-04-01 16:53:10,2.47 GB/s,0 kB/s,6 kB/s,1.86 GB/s,0 kB/s,2.50 GB/s
2023-04-01 16:53:15,2.00 GB/s,0 kB/s,11.2 kB/s,1.54 GB/s,0 kB/s,2.03 GB/s
2023-04-01 16:53:20,2.00 GB/s,0 kB/s,11.2 kB/s,1.54 GB/s,0 kB/s,2.03 GB/s
2023-04-01 16:53:25,1.71 GB/s,0 kB/s,0 kB/s,1.54 GB/s,0 kB/s,1.75 GB/s
2023-04-01 16:53:30,1.71 GB/s,0 kB/s,0 kB/s,1.54 GB/s,0 kB/s,1.75 GB/s
2023-04-01 16:53:35,924 MB/s,0 kB/s,5.60 kB/s,1.04 GB/s,0 kB/s,959 MB/s
2023-04-01 16:53:40,924 MB/s,0 kB/s,5.60 kB/s,1.04 GB/s,0 kB/s,959 MB/s
2023-04-01 16:53:45,887 MB/s,0 kB/s,24.6 kB/s,969 MB/s,0 kB/s,921 MB/s
2023-04-01 16:53:50,887 MB/s,0 kB/s,24.6 kB/s,969 MB/s,0 kB/s,921 MB/s
2023-04-01 16:53:55,1.55 GB/s,0 kB/s,22.4 kB/s,1.63 GB/s,0 kB/s,1.59 GB/s
2023-04-01 16:54:00,1.55 GB/s,0 kB/s,22.4 kB/s,1.63 GB/s,0 kB/s,1.59 GB/s
2023-04-01 16:54:05,1.78 GB/s,0 kB/s,67.7 kB/s,1.42 GB/s,0 kB/s,1.81 GB/s
2023-04-01 16:54:10,1.78 GB/s,0 kB/s,67.7 kB/s,1.42 GB/s,0 kB/s,1.81 GB/s
2023-04-01 16:54:15,1.70 GB/s,0 kB/s,11.6 kB/s,1.36 GB/s,0 kB/s,1.74 GB/s
2023-04-01 16:54:20,1.70 GB/s,0 kB/s,11.6 kB/s,1.36 GB/s,0 kB/s,1.74 GB/s
2023-04-01 16:54:25,1.49 GB/s,0 kB/s,14.8 kB/s,1.65 GB/s,0 kB/s,1.52 GB/s
