sep=,
"Time","iowait","irq","nice","softirq","steal","system","user"
2023-02-08 00:45:00,0%,0%,0%,0%,0%,0.0250%,0.0500%
2023-02-08 00:45:15,0%,0%,0%,0%,0%,0.0250%,0.0250%
2023-02-08 00:45:30,0%,0%,0%,0%,0.0500%,0.0500%,0.0500%
2023-02-08 00:45:45,0%,0%,0%,0%,0.0250%,0.0500%,0.0500%
2023-02-08 00:46:00,0%,0%,0%,0%,0.0750%,0.0500%,0.0750%
2023-02-08 00:46:15,0%,0%,0%,0%,0%,0.100%,0.0750%
2023-02-08 00:46:30,0%,0%,0%,0.0250%,0.0750%,0.0250%,0.0750%
2023-02-08 00:46:45,0%,0%,0%,0%,0.0750%,0.1000%,0.175%
2023-02-08 00:47:00,0%,0%,0%,0%,0.0250%,0.0500%,0.0250%
2023-02-08 00:47:15,0%,0%,0%,0%,0.0500%,0%,0.0750%
2023-02-08 00:47:30,0%,0%,0%,0%,0%,0%,0.0250%
2023-02-08 00:47:45,0%,0%,0%,0%,0%,0.1000%,0.0500%
2023-02-08 00:48:00,0%,0%,0%,0%,0%,0.0750%,0.0750%
2023-02-08 00:48:15,0%,0%,0%,0%,0.0500%,0.0250%,0.100%
2023-02-08 00:48:30,0%,0%,0%,0.0250%,0%,0%,0.0250%
2023-02-08 00:48:45,0%,0%,0%,0%,0.0500%,0.150%,0.175%
2023-02-08 00:49:00,0%,0%,0%,0%,0.0500%,0.0500%,0.0500%
2023-02-08 00:49:15,0%,0%,0%,0%,0.0250%,0.0500%,0.0500%
2023-02-08 00:49:30,0%,0%,0%,0%,0%,0.0250%,0.0250%
2023-02-08 00:49:45,0%,0%,0%,0%,0.0250%,0.0750%,0.0500%
2023-02-08 00:50:00,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 00:50:15,0%,0%,0%,0%,0.0750%,0%,0.0500%
2023-02-08 00:50:30,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 00:50:45,0%,0%,0%,0%,0.0250%,0.0750%,0.125%
2023-02-08 00:51:00,0%,0%,0%,0%,0.0250%,0.0250%,0.0500%
2023-02-08 00:51:15,0%,0%,0%,0%,0%,0.0750%,0.0750%
2023-02-08 00:51:30,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 00:51:45,0%,0%,0%,0%,0.0750%,0.0750%,0.1000%
2023-02-08 00:52:00,0%,0%,0%,0.0250%,0%,0%,0.1000%
2023-02-08 00:52:15,0%,0%,0%,0%,0%,0.0500%,0%
2023-02-08 00:52:30,0%,0%,0%,0.0250%,0%,0.0500%,0.125%
2023-02-08 00:52:45,0%,0%,0%,0%,0%,0.0750%,0.0750%
2023-02-08 00:53:00,0%,0%,0%,0.0250%,0.0500%,0.0500%,0%
2023-02-08 00:53:15,0%,0%,0%,0%,0.0750%,0.0250%,0.0750%
2023-02-08 00:53:30,0%,0%,0%,0.0250%,0.0500%,0.0500%,0.0250%
2023-02-08 00:53:45,0%,0%,0%,0%,0.0500%,0.0500%,0.0500%
2023-02-08 00:54:00,0%,0%,0%,0%,0.0250%,0.0250%,0%
2023-02-08 00:54:15,0%,0%,0%,0%,0.0250%,0.0750%,0.0500%
2023-02-08 00:54:30,0%,0%,0%,0%,0.0250%,0.0250%,0.100%
2023-02-08 00:54:45,0%,0%,0%,0%,0%,0%,0.0500%
2023-02-08 00:55:00,0%,0%,0%,0%,0.0500%,0%,0.0750%
2023-02-08 00:55:15,0%,0%,0%,0%,0.0750%,0.0500%,0.0750%
2023-02-08 00:55:30,0%,0%,0%,0%,0.0750%,0.0250%,0.0250%
2023-02-08 00:55:45,0%,0%,0%,0%,0.0750%,0.0750%,0.0500%
2023-02-08 00:56:00,0%,0%,0%,0%,0.0250%,0%,0.0250%
2023-02-08 00:56:15,0%,0%,0%,0%,0.0250%,0.0750%,0.0500%
2023-02-08 00:56:30,0%,0%,0%,0%,0%,0.0250%,0.100%
2023-02-08 00:56:45,0%,0%,0%,0.0250%,0.0250%,0.0750%,0.125%
2023-02-08 00:57:00,0%,0%,0%,0%,0.0250%,0%,0.0500%
2023-02-08 00:57:15,0%,0%,0%,0%,0.0500%,0.1000%,0.0500%
2023-02-08 00:57:30,0%,0%,0%,0%,0%,0.0250%,0.1000%
2023-02-08 00:57:45,0%,0%,0%,0%,0.0250%,0.1000%,0.0250%
2023-02-08 00:58:00,0%,0%,0%,0%,0.0250%,0.0500%,0.1000%
2023-02-08 00:58:15,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 00:58:30,0%,0%,0%,0%,0.0500%,0.0750%,0.0750%
2023-02-08 00:58:45,0%,0%,0%,0%,0%,0.0750%,0.200%
2023-02-08 00:59:00,0%,0%,0%,0%,0.0250%,0.0250%,0.0750%
2023-02-08 00:59:15,0%,0%,0%,0%,0.0250%,0.0500%,0.0250%
2023-02-08 00:59:30,0%,0%,0%,0%,0.0250%,0.1000%,0.0750%
2023-02-08 00:59:45,0%,0%,0%,0%,0.0500%,0.0500%,0.0250%
2023-02-08 01:00:00,0%,0%,0%,0%,0.0250%,0.0750%,0.0500%
2023-02-08 01:00:15,0%,0%,0%,0%,0.0750%,0.0250%,0.0750%
2023-02-08 01:00:30,0%,0%,0%,0.0250%,0.0250%,0.0750%,0.0750%
2023-02-08 01:00:45,0%,0%,0%,0%,0%,0.0500%,0.125%
2023-02-08 01:01:00,0%,0%,0%,0%,0%,0.100%,0.0750%
2023-02-08 01:01:15,0.0500%,0%,0%,0%,0.0250%,0%,0.1000%
2023-02-08 01:01:30,0%,0%,0%,0%,0.0250%,0.0250%,0.0750%
2023-02-08 01:01:45,0%,0%,0%,0.0250%,0%,0.0250%,0.0500%
2023-02-08 01:02:00,0%,0%,0%,0%,0%,0.1000%,0.0250%
2023-02-08 01:02:15,0%,0%,0%,0%,0.0500%,0.0500%,0.0750%
2023-02-08 01:02:30,0%,0%,0%,0%,0%,0.0250%,0.0250%
2023-02-08 01:02:45,0%,0%,0%,0%,0%,0.0250%,0.125%
2023-02-08 01:03:00,0%,0%,0%,0%,0.0500%,0%,0.0500%
2023-02-08 01:03:15,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 01:03:30,0%,0%,0%,0%,0%,0.0750%,0.0250%
