timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680342759067,2905,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-3,text,true,,2551215,180,7,7,https://rcie.nuttchai.app/api/v1/search?offset=4051&limit=9087&isHiddenRequired=true,2398,0,1358
1680342760968,1128,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-6,text,true,,26055,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=24655&limit=89&isHiddenRequired=true,1095,0,119
1680342761597,765,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-7,text,true,,24968,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=44498&limit=87&isHiddenRequired=true,733,0,117
1680342762233,1101,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-8,text,true,,2760584,180,6,6,https://rcie.nuttchai.app/api/v1/search?offset=4740&limit=9776&isHiddenRequired=true,718,0,128
1680342762866,1285,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-9,text,true,,2329460,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=554&limit=8406&isHiddenRequired=true,615,0,153
1680342763501,692,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-10,text,true,,18376,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=49016&limit=62&isHiddenRequired=true,660,0,165
1680342764764,1017,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-12,text,true,,23042,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=27285&limit=77&isHiddenRequired=true,982,0,136
1680342766028,785,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-14,text,true,,17821,179,8,8,https://rcie.nuttchai.app/api/v1/search?offset=37875&limit=64&isHiddenRequired=true,752,0,151
1680342765394,1562,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-13,text,true,,1817345,180,7,7,https://rcie.nuttchai.app/api/v1/search?offset=3365&limit=6570&isHiddenRequired=true,1147,0,114
1680342766661,1495,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-15,text,true,,2608521,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=37174&limit=9261&isHiddenRequired=true,799,0,120
1680342767930,1192,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-17,text,true,,1790768,180,8,8,https://rcie.nuttchai.app/api/v1/search?offset=6475&limit=6364&isHiddenRequired=true,792,0,112
1680342764130,5234,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-11,text,true,,308825,337,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=34736&limit=1066,5096,0,118
1680342768561,1505,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-18,text,true,,2580627,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=16013&limit=9269&isHiddenRequired=true,825,0,112
1680342769193,1457,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-19,text,true,,1676274,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=11451&limit=5875&isHiddenRequired=true,861,0,146
1680342760333,10754,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-5,text,true,,643611,322,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=36740&limit=2346,10490,0,120
1680342771721,2575,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-23,text,true,,2427931,181,12,12,https://rcie.nuttchai.app/api/v1/search?offset=19957&limit=8566&isHiddenRequired=true,2154,0,116
1680342772986,1468,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-25,text,true,,13117,179,11,11,https://rcie.nuttchai.app/api/v1/search?offset=46847&limit=46&isHiddenRequired=true,1435,0,117
1680342759704,15955,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-4,text,true,,888595,321,12,12,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=1641&limit=3243,15448,0,724
1680342757973,18892,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-1,text,true,,918484,322,13,13,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=34868&limit=3351,18698,0,2452
1680342774250,2655,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-27,text,true,,1770799,181,12,12,https://rcie.nuttchai.app/api/v1/search?offset=10298&limit=6169&isHiddenRequired=true,2208,0,113
1680342774885,3021,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-28,text,true,,2461073,181,12,12,https://rcie.nuttchai.app/api/v1/search?offset=32596&limit=8688&isHiddenRequired=true,2350,0,133
1680342758434,19720,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-2,text,true,,961977,324,12,12,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=44714&limit=3482,19147,0,1991
1680342776150,3049,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-30,text,true,,2017854,181,12,12,https://rcie.nuttchai.app/api/v1/search?offset=13754&limit=7194&isHiddenRequired=true,2574,0,135
1680342778682,576,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-34,text,true,,18870,177,11,11,https://rcie.nuttchai.app/api/v1/search?offset=176&limit=68&isHiddenRequired=true,543,0,151
1680342777416,2969,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-32,text,true,,2131776,181,12,12,https://rcie.nuttchai.app/api/v1/search?offset=24523&limit=7281&isHiddenRequired=true,2434,0,126
1680342779314,2415,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-35,text,true,,2071534,181,13,13,https://rcie.nuttchai.app/api/v1/search?offset=22178&limit=7219&isHiddenRequired=true,1804,0,151
1680342779947,1838,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-36,text,true,,22356,179,12,12,https://rcie.nuttchai.app/api/v1/search?offset=41313&limit=75&isHiddenRequired=true,1805,0,129
1680342780582,2512,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-37,text,true,,1992523,180,13,13,https://rcie.nuttchai.app/api/v1/search?offset=6095&limit=7089&isHiddenRequired=true,2046,0,149
1680342781212,2664,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-38,text,true,,2416614,181,14,14,https://rcie.nuttchai.app/api/v1/search?offset=13783&limit=8621&isHiddenRequired=true,1509,0,113
1680342783110,976,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-41,text,true,,18860,178,13,13,https://rcie.nuttchai.app/api/v1/search?offset=2631&limit=68&isHiddenRequired=true,943,0,134
1680342769824,15011,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-20,text,true,,586691,322,13,13,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=4872&limit=2131,14839,0,115
1680342782478,2576,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-40,text,true,,19169,179,13,13,https://rcie.nuttchai.app/api/v1/search?offset=19973&limit=68&isHiddenRequired=true,2545,0,124
1680342770456,16509,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-21,text,true,,593793,322,15,15,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=9265&limit=2152,16311,0,116
1680342783745,3278,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-42,text,true,,2694559,181,14,14,https://rcie.nuttchai.app/api/v1/search?offset=15479&limit=9651&isHiddenRequired=true,2692,0,142
1680342771088,16629,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-22,text,true,,534334,321,14,14,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=44024&limit=1956,16427,0,116
1680342784376,3858,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-43,text,true,,2032404,180,14,14,https://rcie.nuttchai.app/api/v1/search?offset=5586&limit=7281&isHiddenRequired=true,2196,0,141
1680342785644,2886,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-45,text,true,,2701395,180,13,13,https://rcie.nuttchai.app/api/v1/search?offset=8315&limit=9584&isHiddenRequired=true,2228,0,134
1680342786906,2156,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-47,text,true,,7785,179,13,13,https://rcie.nuttchai.app/api/v1/search?offset=47824&limit=27&isHiddenRequired=true,2155,0,113
1680342788176,2058,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-49,text,true,,18592,179,14,14,https://rcie.nuttchai.app/api/v1/search?offset=37758&limit=66&isHiddenRequired=true,2027,0,120
1680342776781,13602,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-31,text,true,,399778,325,13,13,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=32535&limit=1439,13471,0,113
1680342786274,4223,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-46,text,true,,1698131,180,12,12,https://rcie.nuttchai.app/api/v1/search?offset=6690&limit=6086&isHiddenRequired=true,2333,0,364
1680342788804,2210,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-50,text,true,,15546,179,12,12,https://rcie.nuttchai.app/api/v1/search?offset=44372&limit=55&isHiddenRequired=true,2177,0,131
1680342789440,2646,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-51,text,true,,23358,179,13,13,https://rcie.nuttchai.app/api/v1/search?offset=18547&limit=82&isHiddenRequired=true,2615,0,131
1680342790070,3101,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-52,text,true,,1663745,181,13,13,https://rcie.nuttchai.app/api/v1/search?offset=10484&limit=5836&isHiddenRequired=true,2702,0,121
1680342773619,20030,Update Product - CPU - H | MEM - H,200,OK,[Thread Group] Thread 1 1-26,text,true,,666014,324,13,13,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=19425&limit=2415,19826,0,134
1680342791338,2815,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-54,text,true,,8470,179,13,13,https://rcie.nuttchai.app/api/v1/search?offset=20321&limit=30&isHiddenRequired=true,2815,0,119
